snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
E16_L3,E16,Mandi,31.5333,77.15,1,3,7,182,3.1599999999999966,6.449999999999989,100.0,-0.1099999999999994,-0.0499999999999971,6.6,-2174350.26,98987.91,100.0,3.94,-0.3224999999999811,2187.0
E16_L6,E16,Mandi,31.5333,77.15,1,6,7,182,-12.989999999999997,7.900000000000006,99.0,0.0600000000000022,0.2100000000000079,6.6,-1877368.65,-98995.47,100.0,3.94,1.659000000000064,2187.0
E16_L9,E16,Mandi,31.5333,77.15,1,9,7,182,-2.8700000000000045,-7.609999999999999,99.0,0.1500000000000056,0.2199999999999988,6.6,-1580381.04,98946.94,100.0,3.94,-1.6741999999999913,2187.0
E17_L0,E17,Kullu,32.2432,77.1892,1,0,7,183,5.0,0.0,100.0,0.0700000000000002,-0.009999999999998,0.3,-2473915.95,-98938.63,100.0,5.28,-0.0,1878.0
E17_L3,E17,Kullu,32.2432,77.1892,1,3,7,182,0.0,6.0,100.0,-0.0799999999999983,-0.1099999999999994,0.2,-2177016.22,98978.23,100.0,5.28,-0.6599999999999966,1878.0
E17_L6,E17,Kullu,32.2432,77.1892,1,6,7,182,6.0,17.150000000000006,98.11,-0.0300000000000011,0.0300000000000011,0.2,-1880076.13,-98990.61,100.0,5.28,0.5145000000000197,1878.0
E17_L9,E17,Kullu,32.2432,77.1892,1,9,7,182,2.969999999999999,1.6699999999999875,98.11,0.0600000000000022,0.1300000000000025,0.0,-1583119.42,98988.00999999998,90.0,5.28,0.2171000000000026,1878.0
E18_L0,E18,Kullu,32.1167,77.3333,1,0,8,213,10.0,0.0,100.0,0.0399999999999991,0.029999999999994,0.9,-2473211.89,-99015.92,100.0,2.79,0.0,3324.0
E18_L3,E18,Kullu,32.1167,77.3333,1,3,7,212,2.0,4.569999999999993,100.0,-0.0100000000000051,-0.0300000000000011,0.9,-2176332.0500000003,98910.37,100.0,2.79,-0.137100000000005,3324.0
E18_L6,E18,Kullu,32.1167,77.3333,1,6,7,212,11.430000000000009,10.540000000000006,97.0,-0.019999999999996,0.0200000000000031,0.9,-1879594.38,-98940.48,100.0,2.79,0.210800000000033,3324.0
